Format Version,1.23,Take Name,5-6-SID-roll2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-05-06 08.30.54.933 AM,Capture Start Frame,172841,Total Frames in Take,51877,Total Exported Frames,51877,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone
,ID,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
272,2.267000,-0.299182,0.207336,0.015888,-0.033523,0.232984,0.724005
273,2.275000,-0.305671,0.207243,0.015637,-0.033529,0.232990,0.724002
274,2.283000,-0.306846,0.197501,0.016701,-0.033526,0.232989,0.724001
275,2.292000,-0.309140,0.201277,0.022546,-0.033527,0.232991,0.724001
276,2.300000,-0.307370,0.201060,0.016120,-0.033532,0.232993,0.724003
277,2.308000,-0.307703,0.201089,0.020794,-0.033525,0.232986,0.724001
278,2.317000,-0.304800,0.200876,0.018621,-0.033524,0.232985,0.724002
279,2.325000,-0.305762,0.202055,0.023207,-0.033524,0.232979,0.723998
280,2.333000,-0.310861,0.201991,0.019401,-0.033522,0.232986,0.723999
281,2.342000,-0.310679,0.203873,0.020825,-0.033523,0.232988,0.724002
282,2.350000,-0.308474,0.201330,0.016939,-0.033524,0.232989,0.723997
283,2.358000,-0.311532,0.199830,0.010586,-0.033525,0.232988,0.723999
284,2.367000,-0.306735,0.203925,0.021929,-0.033525,0.232984,0.723999
285,2.375000,-0.306241,0.197681,0.024977,-0.033525,0.232983,0.724006
286,2.383000,-0.302269,0.203129,0.020217,-0.033520,0.232987,0.723999
287,2.392000,-0.307199,0.199729,0.012492,-0.033524,0.232989,0.724002
288,2.400000,-0.310147,0.205647,0.018210,-0.033525,0.232986,0.724001
289,2.408000,-0.304963,0.207171,0.015061,-0.033526,0.232988,0.724001
290,2.417000,-0.308411,0.204551,0.011565,-0.033520,0.232992,0.724000
291,2.425000,-0.311590,0.204280,0.014677,-0.033523,0.232988,0.724001
292,2.433000,-0.309592,0.203294,0.015291,-0.033525,0.232987,0.724001
293,2.442000,-0.295483,0.208509,0.034544,-0.033530,0.232978,0.724007
294,2.450000,-0.303973,0.210159,0.025403,-0.033519,0.232985,0.724005
295,2.458000,-0.310204,0.203299,0.016256,-0.033524,0.232988,0.724000
