Format Version,1.23,Take Name,5-6-SID-pitch1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-05-06 08.42.57.977 AM,Capture Start Frame,259605,Total Frames in Take,44511,Total Exported Frames,44511,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone
,ID,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA,329CC9029F211F0E509D45A5468DEBA
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
245,2.042000,-0.197093,0.477092,-1.870875,-0.037780,0.235135,0.723938
246,2.050000,-0.232095,0.488000,-1.889571,-0.037769,0.235145,0.723918
247,2.058000,-0.238960,0.456659,-1.902933,-0.037771,0.235161,0.723925
248,2.067000,-0.231016,0.437131,-1.904738,-0.037781,0.235160,0.723930
249,2.075000,-0.226075,0.434807,-1.904864,-0.037783,0.235151,0.723932
250,2.083000,-0.238262,0.445554,-1.899691,-0.037777,0.235156,0.723927
251,2.092000,-0.239964,0.447506,-1.903806,-0.037773,0.235157,0.723927
252,2.100000,-0.199321,0.467281,-1.883311,-0.037779,0.235128,0.723938
253,2.108000,-0.247804,0.461762,-1.909433,-0.037760,0.235159,0.723917
254,2.117000,-0.233669,0.438929,-1.897398,-0.037779,0.235157,0.723924
255,2.125000,-0.232234,0.437645,-1.905983,-0.037783,0.235158,0.723927
256,2.133000,-0.234967,0.448532,-1.897703,-0.037782,0.235157,0.723926
257,2.142000,-0.204291,0.463279,-1.873239,-0.037784,0.235131,0.723941
258,2.150000,-0.249257,0.466753,-1.901488,-0.037766,0.235159,0.723913
259,2.158000,-0.238643,0.445001,-1.900927,-0.037777,0.235158,0.723927
260,2.167000,-0.235431,0.445438,-1.898315,-0.037780,0.235153,0.723931
261,2.175000,-0.233970,0.453766,-1.900672,-0.037777,0.235158,0.723918
262,2.183000,-0.241417,0.449565,-1.907603,-0.037774,0.235153,0.723926
263,2.192000,-0.234419,0.443709,-1.898594,-0.037775,0.235159,0.723925
264,2.200000,-0.240535,0.449134,-1.901920,-0.037773,0.235159,0.723924
265,2.208000,-0.237873,0.449400,-1.906868,-0.037769,0.235159,0.723926
266,2.217000,-0.204191,0.474920,-1.876355,-0.037775,0.235132,0.723934
267,2.225000,-0.202024,0.471845,-1.875688,-0.037776,0.235129,0.723939
268,2.233000,-0.251545,0.456172,-1.902727,-0.037769,0.235170,0.723916
269,2.242000,-0.241065,0.436442,-1.899035,-0.037786,0.235164,0.723924
270,2.250000,-0.233386,0.440548,-1.900448,-0.037786,0.235157,0.723929
271,2.258000,-0.237187,0.445793,-1.905340,-0.037776,0.235158,0.723927
272,2.267000,-0.241335,0.449714,-1.902319,-0.037776,0.235159,0.723927
273,2.275000,-0.240894,0.454614,-1.905575,-0.037779,0.235160,0.723919
274,2.283000,-0.239970,0.443226,-1.914917,-0.037778,0.235153,0.723928
275,2.292000,-0.240705,0.447885,-1.902082,-0.037771,0.235157,0.723921
276,2.300000,-0.240712,0.442500,-1.907319,-0.037775,0.235158,0.723923
277,2.308000,-0.235094,0.440888,-1.901299,-0.037782,0.235159,0.723926
278,2.317000,-0.240190,0.449325,-1.901180,-0.037779,0.235157,0.723921
279,2.325000,-0.242993,0.444904,-1.903004,-0.037786,0.235162,0.723921
280,2.333000,-0.240113,0.445685,-1.907889,-0.037779,0.235156,0.723921
281,2.342000,-0.236824,0.444704,-1.905607,-0.037780,0.235159,0.723927
282,2.350000,-0.240911,0.442789,-1.905244,-0.037780,0.235157,0.723930
283,2.358000,-0.236556,0.445043,-1.904950,-0.037777,0.235160,0.723928
284,2.367000,-0.202865,0.471362,-1.869061,-0.037782,0.235130,0.723943
285,2.375000,-0.245852,0.459407,-1.901018,-0.037772,0.235160,0.723917
286,2.383000,-0.237577,0.439414,-1.907778,-0.037785,0.235164,0.723930
287,2.392000,-0.232713,0.439884,-1.901625,-0.037782,0.235161,0.723930
